SYSTEM,SITE,ENBID,ENBNAME,SITE_NAME,CID,CELL_NAME,LAT,LONG,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,52,L23-CBI1382-2E,13.420133,101.05751,270,30,33163,39050,302,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,53,L23-CBI1382-3E,13.420133,101.05751,270,30,33163,39248,302,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,61,L23-CBI1382-1F,13.420133,101.05751,330,30,33163,38852,99,520,17
LTE,CBI1382,500390,CBI1382-L23,WAT PHAI KLONG DON,62,L23-CBI1382-2F,13.420133,101.05751,330,30,33163,39050,99,520,17
LTE,CBR1229,500979,CBI1229-L23,BOH PHASE 10,11,L23-CBI1229-1A,13.440833,101.111111,350,30,33163,38852,357,520,17
LTE,CBR1229,500979,CBI1229-L23,BOH PHASE 10,12,L23-CBI1229-2A,13.440833,101.111111,350,30,33163,39050,357,520,17
LTE,CBR1229,500979,CBI1229-L23,BOH PHASE 10,13,L23-CBI1229-3A,13.440833,101.111111,350,30,33163,39248,357,520,17
LTE,CBR1229,500979,CBI1229-L23,BOH PHASE 10,21,L23-CBI1229-1B,13.440833,101.111111,180,30,33163,38852,358,520,17
LTE,CBR1229,500979,CBI1229-L23,BOH PHASE 10,22,L23-CBI1229-2B,13.440833,101.111111,180,30,33163,39050,358,520,17
LTE,CBR1229,500979,CBI1229-L23,BOH PHASE 10,23,L23-CBI1229-3B,13.440833,101.111111,180,30,33163,39248,358,520,17
LTE,CBR1229,500979,CBI1229-L23,BOH PHASE 10,31,L23-CBI1229-1C,13.440833,101.111111,260,30,33163,38852,359,520,17
LTE,CBR1229,500979,CBI1229-L23,BOH PHASE 10,32,L23-CBI1229-2C,13.440833,101.111111,260,30,33163,39050,359,520,17
LTE,CBR1229,500979,CBI1229-L23,BOH PHASE 10,33,L23-CBI1229-3C,13.440833,101.111111,260,30,33163,39248,359,520,17
LTE,CBI1255,500933,CBI1255-L23,MEDICAL RESEARCH CENTER BURAPHA UNIVERSITY,23,L23-CBI1255-3B,13.284933,100.923176,0,30,33162,39248,458,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,21,L23-CBI1158-1B,13.351813,100.9826803,0,30,33161,38852,448,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,22,L23-CBI1158-2B,13.351813,100.9826803,0,30,33161,39050,448,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,23,L23-CBI1158-3B,13.351813,100.9826803,0,30,33161,39248,448,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,31,L23-CBI1158-1C,13.351813,100.9826803,0,30,33161,38852,491,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,32,L23-CBI1158-2C,13.351813,100.9826803,0,30,33161,39050,491,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,33,L23-CBI1158-3C,13.351813,100.9826803,0,30,33161,39248,491,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,41,L23-CBI1158-1D,13.351813,100.9826803,0,30,33161,38852,486,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,42,L23-CBI1158-2D,13.351813,100.9826803,0,30,33161,39050,486,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,43,L23-CBI1158-3D,13.351813,100.9826803,0,30,33161,39248,486,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,51,L23-CBI1158-1E,13.351813,100.9826803,0,30,33161,38852,487,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,52,L23-CBI1158-2E,13.351813,100.9826803,0,30,33161,39050,487,520,17
LTE,CBI1158,500927,CBI1158-L23,CHONBURI HOSPITAL,53,L23-CBI1158-3E,13.351813,100.9826803,0,30,33161,39248,487,520,17
