SYSTEM,SITE,ENBID,ENBNAME,SITE_NAME,CID,CELL_NAME,LAT,LON,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI0809,500079,CBI0809-L23,SOI SUKHUMVIT-PATTAYA93,31,L23-CBI0809-1C,12.87058,100.90433,150,30,33083,38852,18,520,17
LTE,CBI0809,500079,CBI0809-L23,SOI SUKHUMVIT-PATTAYA93,32,L23-CBI0809-2C,12.87058,100.90433,150,30,33083,39050,18,520,17
LTE,CBI0809,500079,CBI0809-L23,SOI SUKHUMVIT-PATTAYA93,33,L23-CBI0809-3C,12.87058,100.90433,150,30,33083,39248,18,520,17
LTE,CBI0810,500080,CBI0810-L23,SANTI KHAM ROAD,12,L23-CBI0810-2A,12.98332,100.98878,10,30,33083,39050,165,520,17
LTE,CBI0810,500080,CBI0810-L23,SANTI KHAM ROAD,13,L23-CBI0810-3A,12.98332,100.98878,10,30,33083,39248,165,520,17
LTE,CBI0810,500080,CBI0810-L23,SANTI KHAM ROAD,11,L23-CBI0810-1A,12.98332,100.98878,10,30,33083,38852,165,520,17
LTE,CBI0810,500080,CBI0810-L23,SANTI KHAM ROAD,21,L23-CBI0810-1B,12.98332,100.98878,110,30,33083,38852,166,520,17
LTE,CBI0810,500080,CBI0810-L23,SANTI KHAM ROAD,22,L23-CBI0810-2B,12.98332,100.98878,110,30,33083,39050,166,520,17
LTE,CBI0606,500420,CBI0606-L23,CHERDNOI,12,L23-CBI0606-2A,13.335906,101.103778,300,30,33163,39050,367,520,17
LTE,CBI0606,500420,CBI0606-L23,CHERDNOI,13,L23-CBI0606-3A,13.335906,101.103778,300,30,33163,39248,367,520,17
LTE,CBI0606,500420,CBI0606-L23,CHERDNOI,11,L23-CBI0606-1A,13.335906,101.103778,300,30,33163,38852,367,520,17
LTE,CBI0810,500080,CBI0810-L23,SANTI KHAM ROAD,23,L23-CBI0810-3B,12.98332,100.98878,110,30,33083,39248,166,520,17
LTE,CBI0810,500080,CBI0810-L23,SANTI KHAM ROAD,32,L23-CBI0810-2C,12.98332,100.98878,210,30,33083,39050,167,520,17
LTE,CBI0810,500080,CBI0810-L23,SANTI KHAM ROAD,33,L23-CBI0810-3C,12.98332,100.98878,210,30,33083,39248,167,520,17
LTE,CBI0810,500080,CBI0810-L23,SANTI KHAM ROAD,31,L23-CBI0810-1C,12.98332,100.98878,210,30,33083,38852,167,520,17
LTE,CBI0812,500081,CBI0812-L23,SOI BAN KAO 3,11,L23-CBI0812-1A,12.97728,100.9655,30,30,33083,38852,427,520,17
LTE,CBI0812,500081,CBI0812-L23,SOI BAN KAO 3,12,L23-CBI0812-2A,12.97728,100.9655,30,30,33083,39050,427,520,17
LTE,CBI0812,500081,CBI0812-L23,SOI BAN KAO 3,13,L23-CBI0812-3A,12.97728,100.9655,30,30,33083,39248,427,520,17
LTE,CBI0812,500081,CBI0812-L23,SOI BAN KAO 3,22,L23-CBI0812-2B,12.97728,100.9655,180,30,33083,39050,426,520,17
LTE,CBI0812,500081,CBI0812-L23,SOI BAN KAO 3,23,L23-CBI0812-3B,12.97728,100.9655,180,30,33083,39248,426,520,17
LTE,CBI0812,500081,CBI0812-L23,SOI BAN KAO 3,21,L23-CBI0812-1B,12.97728,100.9655,180,30,33083,38852,426,520,17
LTE,CBI0812,500081,CBI0812-L23,SOI BAN KAO 3,31,L23-CBI0812-1C,12.97728,100.9655,300,30,33083,38852,428,520,17
LTE,CBI0812,500081,CBI0812-L23,SOI BAN KAO 3,32,L23-CBI0812-2C,12.97728,100.9655,300,30,33083,39050,428,520,17
LTE,CBI0812,500081,CBI0812-L23,SOI BAN KAO 3,33,L23-CBI0812-3C,12.97728,100.9655,300,30,33083,39248,428,520,17
LTE,CBI0815,500082,CBI0815-L23,DUO RESIDENCE JOMTIEN,12,L23-CBI0815-2A,12.89049,100.87916,320,30,33083,39050,430,520,17
LTE,CBI0815,500082,CBI0815-L23,DUO RESIDENCE JOMTIEN,13,L23-CBI0815-3A,12.89049,100.87916,320,30,33083,39248,430,520,17
LTE,CBI0815,500082,CBI0815-L23,DUO RESIDENCE JOMTIEN,11,L23-CBI0815-1A,12.89049,100.87916,320,30,33083,38852,430,520,17
LTE,CBI0606,500420,CBI0606-L23,CHERDNOI,21,L23-CBI0606-1B,13.335906,101.103778,10,30,33163,38852,42,520,17
LTE,CBI0047,500129,CBI0047-L23,BANHUAYKUM,23,L23-CBI0047-3B,13.236944,101.004166,135,30,33093,39248,299,520,17
LTE,CBI0047,500129,CBI0047-L23,BANHUAYKUM,21,L23-CBI0047-1B,13.236944,101.004166,135,30,33093,38852,299,520,17
LTE,CBI0815,500082,CBI0815-L23,DUO RESIDENCE JOMTIEN,21,L23-CBI0815-1B,12.89049,100.87916,50,30,33083,38852,419,520,17
LTE,CBI0815,500082,CBI0815-L23,DUO RESIDENCE JOMTIEN,22,L23-CBI0815-2B,12.89049,100.87916,50,30,33083,39050,419,520,17
LTE,CBI0815,500082,CBI0815-L23,DUO RESIDENCE JOMTIEN,23,L23-CBI0815-3B,12.89049,100.87916,50,30,33083,39248,419,520,17
LTE,CBI0815,500082,CBI0815-L23,DUO RESIDENCE JOMTIEN,32,L23-CBI0815-2C,12.89049,100.87916,140,30,33083,39050,418,520,17
LTE,CBI0815,500082,CBI0815-L23,DUO RESIDENCE JOMTIEN,33,L23-CBI0815-3C,12.89049,100.87916,140,30,33083,39248,418,520,17
LTE,CBI0815,500082,CBI0815-L23,DUO RESIDENCE JOMTIEN,31,L23-CBI0815-1C,12.89049,100.87916,140,30,33083,38852,418,520,17
LTE,CBI0815,500082,CBI0815-L23,DUO RESIDENCE JOMTIEN,41,L23-CBI0815-1D,12.89049,100.87916,230,30,33083,38852,417,520,17
LTE,CBI0815,500082,CBI0815-L23,DUO RESIDENCE JOMTIEN,42,L23-CBI0815-2D,12.89049,100.87916,230,30,33083,39050,417,520,17
LTE,CBI0815,500082,CBI0815-L23,DUO RESIDENCE JOMTIEN,43,L23-CBI0815-3D,12.89049,100.87916,230,30,33083,39248,417,520,17
LTE,CBI0817,500475,CBI0817-L23,YAK TAB PRAYA,12,L23-CBI0817-2A,12.92075,100.87248,20,30,33081,39050,125,520,17
LTE,CBI0817,500475,CBI0817-L23,YAK TAB PRAYA,13,L23-CBI0817-3A,12.92075,100.87248,20,30,33081,39248,125,520,17
LTE,CBI0817,500475,CBI0817-L23,YAK TAB PRAYA,11,L23-CBI0817-1A,12.92075,100.87248,20,30,33081,38852,125,520,17
LTE,CBI0817,500475,CBI0817-L23,YAK TAB PRAYA,21,L23-CBI0817-1B,12.92075,100.87248,110,30,33081,38852,123,520,17
LTE,CBI0817,500475,CBI0817-L23,YAK TAB PRAYA,22,L23-CBI0817-2B,12.92075,100.87248,110,30,33081,39050,123,520,17
LTE,CBI0817,500475,CBI0817-L23,YAK TAB PRAYA,23,L23-CBI0817-3B,12.92075,100.87248,110,30,33081,39248,123,520,17
LTE,CBI0817,500475,CBI0817-L23,YAK TAB PRAYA,32,L23-CBI0817-2C,12.92075,100.87248,190,30,33081,39050,124,520,17
LTE,CBI0875,500090,CBI0875-L23,BAN BO YANG,22,L23-CBI0875-2B,13.111402,100.958748,70,30,33091,39050,103,520,17
LTE,CBI0875,500090,CBI0875-L23,BAN BO YANG,23,L23-CBI0875-3B,13.111402,100.958748,70,30,33091,39248,103,520,17
LTE,CBI0875,500090,CBI0875-L23,BAN BO YANG,32,L23-CBI0875-2C,13.111402,100.958748,130,30,33091,39050,221,520,17
LTE,CBI0817,500475,CBI0817-L23,YAK TAB PRAYA,33,L23-CBI0817-3C,12.92075,100.87248,190,30,33081,39248,124,520,17
LTE,CBI0005,500096,CBI0005-L23,BANGSAN,41,L23-CBI0005-1D,13.28662697,100.9386813,180,30,33162,38852,143,520,17
LTE,CBI0005,500096,CBI0005-L23,BANGSAN,42,L23-CBI0005-2D,13.28662697,100.9386813,180,30,33162,39050,143,520,17
LTE,CBI0005,500096,CBI0005-L23,BANGSAN,43,L23-CBI0005-3D,13.28662697,100.9386813,180,30,33162,39248,143,520,17
LTE,CBI0020,500109,CBI0020-L23,KAO_SONG_PI_NONG,12,L23-CBI0020-2A,13.03728,101.086423,330,30,33092,39050,169,520,17
LTE,CBI0020,500109,CBI0020-L23,KAO_SONG_PI_NONG,13,L23-CBI0020-3A,13.03728,101.086423,330,30,33092,39248,169,520,17
LTE,CBI0020,500109,CBI0020-L23,KAO_SONG_PI_NONG,11,L23-CBI0020-1A,13.03728,101.086423,330,30,33092,38852,169,520,17
LTE,CBI0020,500109,CBI0020-L23,KAO_SONG_PI_NONG,21,L23-CBI0020-1B,13.03728,101.086423,80,30,33092,38852,170,520,17
LTE,CBI0020,500109,CBI0020-L23,KAO_SONG_PI_NONG,22,L23-CBI0020-2B,13.03728,101.086423,80,30,33092,39050,170,520,17
LTE,CBI0020,500109,CBI0020-L23,KAO_SONG_PI_NONG,23,L23-CBI0020-3B,13.03728,101.086423,80,30,33092,39248,170,520,17
LTE,CBI0020,500109,CBI0020-L23,KAO_SONG_PI_NONG,32,L23-CBI0020-2C,13.03728,101.086423,140,30,33092,39050,168,520,17
LTE,CBI0020,500109,CBI0020-L23,KAO_SONG_PI_NONG,33,L23-CBI0020-3C,13.03728,101.086423,140,30,33092,39248,168,520,17
LTE,CBI0020,500109,CBI0020-L23,KAO_SONG_PI_NONG,31,L23-CBI0020-1C,13.03728,101.086423,140,30,33092,38852,168,520,17
LTE,CBI0253,500266,CBI0253-L23,BANNONGHIN,41,L23-CBI0253-1D,12.88966128,100.9050947,270,30,33083,38852,287,520,17
LTE,CBI0253,500266,CBI0253-L23,BANNONGHIN,42,L23-CBI0253-2D,12.88966128,100.9050947,270,30,33083,39050,287,520,17
LTE,CBI0253,500266,CBI0253-L23,BANNONGHIN,43,L23-CBI0253-3D,12.88966128,100.9050947,270,30,33083,39248,287,520,17
LTE,CBI0233,500255,CBI0233-L23,PAN_MARKET,12,L23-CBI0233-2A,13.10232782,100.9621797,0,30,33091,39050,91,520,17
LTE,CBI0233,500255,CBI0233-L23,PAN_MARKET,21,L23-CBI0233-1B,13.10232782,100.9621797,120,30,33091,38852,90,520,17
LTE,RYG0237,500722,RYG0237-L23,PHALA VILLAGE,22,L23-RYG0237-2B,12.668333,101.042777,90,30,33082,39050,310,520,17
LTE,CBI0817,500475,CBI0817-L23,YAK TAB PRAYA,31,L23-CBI0817-1C,12.92075,100.87248,190,30,33081,38852,124,520,17
LTE,CBI0259,500271,CBI0259-L23,GRANDJOMTIEN,12,L23-CBI0259-2A,12.886666,100.879444,50,30,33083,39050,420,520,17
LTE,CBI0259,500271,CBI0259-L23,GRANDJOMTIEN,13,L23-CBI0259-3A,12.886666,100.879444,50,30,33083,39248,420,520,17
LTE,CBI0259,500271,CBI0259-L23,GRANDJOMTIEN,11,L23-CBI0259-1A,12.886666,100.879444,50,30,33083,38852,420,520,17
LTE,CBI0259,500271,CBI0259-L23,GRANDJOMTIEN,21,L23-CBI0259-1B,12.886666,100.879444,150,30,33083,38852,421,520,17
LTE,CBI0259,500271,CBI0259-L23,GRANDJOMTIEN,22,L23-CBI0259-2B,12.886666,100.879444,150,30,33083,39050,421,520,17
LTE,CBI0259,500271,CBI0259-L23,GRANDJOMTIEN,23,L23-CBI0259-3B,12.886666,100.879444,150,30,33083,39248,421,520,17
LTE,CBI0259,500271,CBI0259-L23,GRANDJOMTIEN,32,L23-CBI0259-2C,12.886666,100.879444,300,30,33083,39050,422,520,17
LTE,CBI0259,500271,CBI0259-L23,GRANDJOMTIEN,33,L23-CBI0259-3C,12.886666,100.879444,300,30,33083,39248,422,520,17
LTE,CBI0259,500271,CBI0259-L23,GRANDJOMTIEN,31,L23-CBI0259-1C,12.886666,100.879444,300,30,33083,38852,422,520,17
LTE,CBI0263,500274,CBI0263-L23,SIAMCOUNTRYCLUB,11,L23-CBI0263-1A,12.91719004,100.9890193,0,30,33083,38852,366,520,17
LTE,CBI0263,500274,CBI0263-L23,SIAMCOUNTRYCLUB,12,L23-CBI0263-2A,12.91719004,100.9890193,0,30,33083,39050,366,520,17
LTE,CBI0263,500274,CBI0263-L23,SIAMCOUNTRYCLUB,13,L23-CBI0263-3A,12.91719004,100.9890193,0,30,33083,39248,366,520,17
LTE,CBI0263,500274,CBI0263-L23,SIAMCOUNTRYCLUB,22,L23-CBI0263-2B,12.91719004,100.9890193,120,30,33083,39050,368,520,17
LTE,CBI0263,500274,CBI0263-L23,SIAMCOUNTRYCLUB,23,L23-CBI0263-3B,12.91719004,100.9890193,120,30,33083,39248,368,520,17
LTE,CBI0263,500274,CBI0263-L23,SIAMCOUNTRYCLUB,21,L23-CBI0263-1B,12.91719004,100.9890193,120,30,33083,38852,368,520,17
LTE,CBI0378,500323,CBI0378-L23,BANGPRA,22,L23-CBI0378-2B,13.190277,100.933611,120,30,33091,39050,48,520,17
LTE,CBI0378,500323,CBI0378-L23,BANGPRA,33,L23-CBI0378-3C,13.190277,100.933611,210,30,33091,39248,55,520,17
LTE,CBI0120,500182,CBI0120-L23,BANNONGKHO,21,L23-CBI0120-1B,13.142777,101.022777,75,30,33091,38852,176,520,17
LTE,CBI0817,500475,CBI0817-L23,YAK TAB PRAYA,41,L23-CBI0817-1D,12.92075,100.87248,280,30,33081,38852,0,520,17
LTE,CBI0817,500475,CBI0817-L23,YAK TAB PRAYA,42,L23-CBI0817-2D,12.92075,100.87248,280,30,33081,39050,0,520,17
LTE,CBI0817,500475,CBI0817-L23,YAK TAB PRAYA,43,L23-CBI0817-3D,12.92075,100.87248,280,30,33081,39248,0,520,17
LTE,CBI0818,500083,CBI0818-L23,SOI CHOM THIAN 12,12,L23-CBI0818-2A,12.88229,100.88193,50,30,33083,39050,423,520,17
LTE,CBI0818,500083,CBI0818-L23,SOI CHOM THIAN 12,13,L23-CBI0818-3A,12.88229,100.88193,50,30,33083,39248,423,520,17
LTE,CBI0818,500083,CBI0818-L23,SOI CHOM THIAN 12,11,L23-CBI0818-1A,12.88229,100.88193,50,30,33083,38852,423,520,17
LTE,CBI0818,500083,CBI0818-L23,SOI CHOM THIAN 12,21,L23-CBI0818-1B,12.88229,100.88193,140,30,33083,38852,424,520,17
LTE,CBI0818,500083,CBI0818-L23,SOI CHOM THIAN 12,22,L23-CBI0818-2B,12.88229,100.88193,140,30,33083,39050,424,520,17
LTE,CBI0818,500083,CBI0818-L23,SOI CHOM THIAN 12,23,L23-CBI0818-3B,12.88229,100.88193,140,30,33083,39248,424,520,17
LTE,CBI0818,500083,CBI0818-L23,SOI CHOM THIAN 12,32,L23-CBI0818-2C,12.88229,100.88193,320,30,33083,39050,425,520,17
LTE,CBI0818,500083,CBI0818-L23,SOI CHOM THIAN 12,33,L23-CBI0818-3C,12.88229,100.88193,320,30,33083,39248,425,520,17
LTE,CBI0818,500083,CBI0818-L23,SOI CHOM THIAN 12,31,L23-CBI0818-1C,12.88229,100.88193,320,30,33083,38852,425,520,17
LTE,CBI0829,500086,CBI0829-L23,BLACK BAMBOO RESORT,11,L23-CBI0829-1A,13.13854,100.98402,0,30,33091,38852,93,520,17
LTE,CBI0829,500086,CBI0829-L23,BLACK BAMBOO RESORT,12,L23-CBI0829-2A,13.13854,100.98402,0,30,33091,39050,93,520,17
LTE,CBI0829,500086,CBI0829-L23,BLACK BAMBOO RESORT,13,L23-CBI0829-3A,13.13854,100.98402,0,30,33091,39248,93,520,17
