SYSTEM,SITE,LAT,LON,CELL_NAME,CID,ENBID,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI1255-L23,13.284933,100.923176,L23-CBI1255-3A,13,500933,0,170,33162,39248,456,520,17
LTE,CBI1192-L23,13.25196,101.23923,L23-CBI1192-1A,11,501867,340,30,33092,38852,232,520,17
LTE,CBI1192-L23,13.25196,101.23923,L23-CBI1192-2A,12,501867,340,30,33092,39050,232,520,17
LTE,CBI1192-L23,13.25196,101.23923,L23-CBI1192-3A,13,501867,340,30,33092,39248,232,520,17
LTE,CBI1212-L23,13.24389,101.3125,L23-CBI1212-1A,11,501877,40,30,33092,38852,196,520,17
LTE,CBI1212-L23,13.24389,101.3125,L23-CBI1212-2A,12,501877,40,30,33092,39050,196,520,17
LTE,CBI1212-L23,13.24389,101.3125,L23-CBI1212-3A,13,501877,40,30,33092,39248,196,520,17
LTE,CBI0341-L23,13.3555,100.9881,L23-CBI0341-1J,101,500568,190,30,33161,38852,294,520,17
LTE,CBI0341-L23,13.3555,100.9881,L23-CBI0341-2J,102,500568,190,30,33161,39050,294,520,17
LTE,CBI0341-L23,13.3555,100.9881,L23-CBI0341-3J,103,500568,190,30,33161,39248,294,520,17
LTE,CBI0341-L23,13.3555,100.9881,L23-CBI0341-1K,111,500568,250,30,33161,38852,73,520,17
LTE,CBI0341-L23,13.3555,100.9881,L23-CBI0341-2K,112,500568,250,30,33161,39050,73,520,17
LTE,CBI0341-L23,13.3555,100.9881,L23-CBI0341-3K,113,500568,250,30,33161,39248,73,520,17
LTE,CBI1114-L23,13.1101,100.997,L23-CBI1114-1A,11,502606,0,30,33091,38852,30,520,17
LTE,CBI1114-L23,13.1101,100.997,L23-CBI1114-2A,12,502606,0,30,33091,39050,30,520,17
LTE,CBI1114-L23,13.1101,100.997,L23-CBI1114-3A,13,502606,0,30,33091,39248,30,520,17
LTE,CBI1258-L23,12.67746,100.98586,L23-CBI1258-1A,11,502456,290,30,33082,38852,21,520,17
LTE,CBI1282-L23,13.10299,100.92187,L23-CBI1282-3A,13,502091,40,30,33091,39248,284,520,17
