SYSTEM	SITE	ENBID	ENBNAME	SITE_NAME	CID	CELL_NAME	LAT	LON	DIR	ANT_BW	TAC	MCC	MNC	EARFCN	PCI
LTE	BKK1868	305744	BKK1868-L23	STATE_TOWER	33	L23-BKK1868-3C	13.721298	100.516791	360	170	33021	520	17	39248	437
LTE	BKK1491	306671	BKK1491-L23	SHANGRI_LA2	22	L23-BKK1491-2B	13.7198032	100.51375	360	170	33021	520	17	39050	456
LTE	BKK1592	306681	BKK1592-L23	MBK	22	L23-BKK1592-2B	13.74451697	100.529869	360	170	33113	520	17	39050	434
LTE	BKK1592	306681	BKK1592-L23	MBK	53	L23-BKK1592-3E	13.74451697	100.529869	360	170	33113	520	17	39248	437
LTE	BKK1592	306680	BKK1592B-L23	MBK	82	L23-BKK1592-2H	13.74451697	100.529869	360	170	33113	520	17	39050	473
LTE	BKK1311	308315	BKK1311-L23	U_CHU_LIANG	22	L23-BKK1311-2B	13.727383	100.540678	360	170	33022	520	17	39050	448
LTE	BKCC445	308485	BKCC445-L23	CONVENT	186	L23-BKCC445-2C	13.72767	100.533782	200	30	33022	520	17	39050	37
LTE	BKK0282	300014	BKK0282-L23	CHAROENWIANG	22	L23-BKK0282-2B	13.71960509	100.5164578	120	30	33021	520	17	39050	36
LTE	BKK0111	300045	BKK0111-L23	YAK_LUMPINI	21	L23-BKK0111-1B	13.726033	100.542648	110	30	33051	520	17	38852	129
LTE	BKK1178	300063	BKK1178-L23	WATKAEK	21	L23-BKK1178-1B	13.723756	100.523183	60	30	33021	520	17	38852	295
LTE	BKK2034	300186	BKK2034-L23	SATHORN8	13	L23-BKK2034-3A	13.72344518	100.5329315	30	30	33023	520	17	39248	78
LTE	BKK4425	300157	BKK4425-L23	S&B TOWER	12	L23-BKK4425-2A	13.7213	100.52379	15	30	33023	520	17	39050	22
LTE	BKK0619	300174	BKK0619-L23	SALADANG	32	L23-BKK0619-2C	13.725297	100.538739	270	30	33023	520	17	39050	416
LTE	BKK2912	300330	BKK2912-L23	YAK_SATHON	22	L23-BKK2912-2B	13.72239723	100.5314823	115	30	33023	520	17	39050	323
LTE	BKK0021	305407	BKK0021-L23	YANNAWA_PO	23	L23-BKK0021-3B	13.706171	100.53134	100	30	33132	520	17	39248	172
LTE	BKK0021	305407	BKK0021-L23	YANNAWA_PO	41	L23-BKK0021-1D	13.706171	100.53134	270	30	33132	520	17	38852	169
LTE	BKK0262	308452	BKK0262-L23	SOGO	23	L23-BKK0262-3B	13.74407615	100.5412123	55	30	33113	520	17	39248	23
LTE	BKK2353	312134	BKK2353D-L23	SATHON12	23	L23-BKK2353-3B	13.72170314	100.5266514	120	30	33023	520	17	39248	121
LTE	BKK1581	307594	BKK1581-L23	AIA_HQ	23	L23-BKK1581-3B	13.72695687	100.5249377	360	170	33022	520	17	39248	470
LTE	BKK1594	307611	BKK1594-L23	SATHON_TOWER2	21	L23-BKK1594-1B	13.72243927	100.530447	360	170	33023	520	17	38852	449
LTE	BKK1916	307628	BKK1916-L23	MBK_TOWER	12	L23-BKK1916-2A	13.7453489	100.5299207	360	170	33113	520	17	39050	444
LTE	BKK3494	307847	BKK3494B-L23	W_HOTEL	32	L23-BKK3494-2C	13.72225	100.528618	360	170	33023	520	17	39050	479
LTE	BKK1572	304716	BKK1572-L23	EMPIRE_TOWER	33	L23-BKK1572-3C	13.721499	100.530143	360	170	33023	520	17	39248	491
LTE	BKK1625	302843	BKK1625-L23	LIBERTY_SQUARE	11	L23-BKK1625-1A	13.72791932	100.5330068	360	170	33022	520	17	38852	490
LTE	BKK1625	302843	BKK1625-L23	LIBERTY_SQUARE	12	L23-BKK1625-2A	13.72791932	100.5330068	360	170	33022	520	17	39050	490
LTE	BKK1625	302843	BKK1625-L23	LIBERTY_SQUARE	13	L23-BKK1625-3A	13.72791932	100.5330068	360	170	33022	520	17	39248	490
LTE	BKK1666	302846	BKK1666-L23	MAHATUN_PLAZA	11	L23-BKK1666-1A	13.74323279	100.5492925	360	170	33053	520	17	38852	474
LTE	BKK1666	302846	BKK1666-L23	MAHATUN_PLAZA	12	L23-BKK1666-2A	13.74323279	100.5492925	360	170	33053	520	17	39050	474
LTE	BKK1666	302846	BKK1666-L23	MAHATUN_PLAZA	13	L23-BKK1666-3A	13.74323279	100.5492925	360	170	33053	520	17	39248	474
LTE	BKK1572	304716	BKK1572-L23	EMPIRE_TOWER	43	L23-BKK1572-3D	13.721499	100.530143	360	170	33023	520	17	39248	492
LTE	BKK0832	302811	BKK0832-L23	THANIYA_RD	11	L23-BKK0832-1A	13.730439	100.533049	170	30	33022	520	17	38852	318
LTE	BKK0832	302811	BKK0832-L23	THANIYA_RD	12	L23-BKK0832-2A	13.730439	100.533049	170	30	33022	520	17	39050	318
LTE	BKK0832	302811	BKK0832-L23	THANIYA_RD	13	L23-BKK0832-3A	13.730439	100.533049	170	30	33022	520	17	39248	318
LTE	BKK1572	304716	BKK1572-L23	EMPIRE_TOWER	41	L23-BKK1572-1D	13.721499	100.530143	360	170	33023	520	17	38852	492
LTE	BKK3065	304724	BKK3065-L23	EMPIRE_F30_52	11	L23-BKK3065-1A	13.72122947	100.530208	360	170	33023	520	17	38852	493
LTE	BKK3065	304724	BKK3065-L23	EMPIRE_F30_52	12	L23-BKK3065-2A	13.72122947	100.530208	360	170	33023	520	17	39050	493
LTE	BKK1500	303627	BKK1500-L23	THAI_WAH1	21	L23-BKK1500-1B	13.72425286	100.539557	360	170	33023	520	17	38852	484
LTE	BKK1500	303627	BKK1500-L23	THAI_WAH1	22	L23-BKK1500-2B	13.72425286	100.539557	360	170	33023	520	17	39050	484
LTE	BKK1500	303627	BKK1500-L23	THAI_WAH1	23	L23-BKK1500-3B	13.72425286	100.539557	360	170	33023	520	17	39248	484
LTE	BKK1502	303898	BKK1502-L23	WALLSTREET_TOWER	11	L23-BKK1502-1A	13.730016	100.532732	360	170	33022	520	17	38852	448
