SYSTEM	SITE	LAT	LON	CELL_NAME	CID	DIR	ANT_BW	LAC	MCC	MNC	EARFCN	PCI
LTE	CBI0502-L23	12.951111	100.935	L23-CBI0502-3B	23	40	30	33083	520	17	39248                                                       	300
LTE	CBI1205-L23	12.67447	100.89593	L23-CBI1205-3C	33	310	30	33082	520	17	39248                                                       	221
LTE	CBI1116-L23	13.1153	100.99053	L23-CBI1116-1B	21	0	30	33091	520	17	38852                                                       	119
LTE	CBI0246-L23	13.1535	100.984	L23-CBI0246-2E	52	260	30	33091	520	17	39050                                                       	13
LTE	CBI0246-L23	13.1535	100.984	L23-CBI0246-2E	52	260	30	33091	520	17	38852                                                       	52
LTE	CBI1135-L23	13.30708	101.45484	L23-CBI1135-2A	12	310	30	33121	520	17	39050                                                       	368
LTE	CBI1225-L23	13.02549	101.1607	L23-CBI1225-2D	42	240	30	33092	520	17	39050                                                       	237
LTE	CBI0294-L23	13.326388	101.045555	L23-CBI0294-2C	32	270	30	33163	520	17	39050                                                       	272
LTE	CBI1186-L23	12.96139	100.89692	L23-CBI1186-1D	41	150	30	33081	520	17	38852                                                       	327
LTE	CBI0339-L23	13.08940046	100.9174562	L23-CBI0339-3C	33	210	30	33091	520	17	39248                                                       	383
LTE	CBI0313-L23	13.38861011	101.0172126	L23-CBI0313-2C	32	100	30	33161	520	17	39050                                                       	110
LTE	CBI0831-L23	13.111944	100.9475	L23-CBI0831-2B	22	90	30	33091	520	17	39050                                                       	170
LTE	CBI0176-L23	12.970833	100.906388	L23-CBI0176-2E	52	240	30	33081	520	17	39050                                                       	69
LTE	CBI0954-L23	13.40283	101.00489	L23-CBI0954-3E	53	250	30	33161	520	17	39248                                                       	167
LTE	CBI0004-L23	13.449444	100.995555	L23-CBI0004-2D	42	300	30	33161	520	17	39050                                                       	427
LTE	CBI0745-L23	12.928611	100.923611	L23-CBI0745-2B	22	110	30	33081	520	17	39050                                                       	265
LTE	CBI0682-L23	12.933713	100.897524	L23-CBI0682-2F	62	0	30	33081	520	17	39050                                                       	455
